Compound_ID,atom_index_0based,atom_index_1based,element,Mulliken_charge,Loewdin_charge,is_heavy_atom,sp_output,opt_xyz
CMR_GOLD_043,0,1,O,-0.238272,-0.211016,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\output\CMR_GOLD_043_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\geometry\CMR_GOLD_043_opt.xyz
CMR_GOLD_043,1,2,C,0.241407,0.082984,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\output\CMR_GOLD_043_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\geometry\CMR_GOLD_043_opt.xyz
CMR_GOLD_043,2,3,O,-0.235932,-0.036558,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\output\CMR_GOLD_043_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\geometry\CMR_GOLD_043_opt.xyz
CMR_GOLD_043,3,4,C,0.156283,0.074871,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\output\CMR_GOLD_043_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\geometry\CMR_GOLD_043_opt.xyz
CMR_GOLD_043,4,5,C,-0.034209,-0.038683,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\output\CMR_GOLD_043_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\geometry\CMR_GOLD_043_opt.xyz
CMR_GOLD_043,5,6,C,0.028156,0.00256,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\output\CMR_GOLD_043_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\geometry\CMR_GOLD_043_opt.xyz
CMR_GOLD_043,6,7,C,0.021038,-0.029961,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\output\CMR_GOLD_043_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\geometry\CMR_GOLD_043_opt.xyz
CMR_GOLD_043,7,8,C,-0.028707,-0.004537,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\output\CMR_GOLD_043_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\geometry\CMR_GOLD_043_opt.xyz
CMR_GOLD_043,8,9,C,0.017043,-0.053613,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\output\CMR_GOLD_043_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\geometry\CMR_GOLD_043_opt.xyz
CMR_GOLD_043,9,10,C,0.220524,0.015526,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\output\CMR_GOLD_043_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\geometry\CMR_GOLD_043_opt.xyz
CMR_GOLD_043,10,11,C,-0.172264,-0.037871,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\output\CMR_GOLD_043_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\geometry\CMR_GOLD_043_opt.xyz
CMR_GOLD_043,11,12,C,-0.031674,0.001348,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\output\CMR_GOLD_043_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\geometry\CMR_GOLD_043_opt.xyz
CMR_GOLD_043,12,13,N,-0.019061,-0.044535,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\output\CMR_GOLD_043_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\geometry\CMR_GOLD_043_opt.xyz
CMR_GOLD_043,13,14,O,-0.163972,0.021685,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\output\CMR_GOLD_043_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\geometry\CMR_GOLD_043_opt.xyz
CMR_GOLD_043,14,15,C,0.254402,0.116176,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\output\CMR_GOLD_043_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\geometry\CMR_GOLD_043_opt.xyz
CMR_GOLD_043,15,16,N,-0.176275,-0.126436,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\output\CMR_GOLD_043_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_043\geometry\CMR_GOLD_043_opt.xyz
CMR_GOLD_055,0,1,O,-0.251395,-0.221617,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_055\output\CMR_GOLD_055_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_055\geometry\CMR_GOLD_055_opt.xyz
CMR_GOLD_055,1,2,C,0.220369,0.085846,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_055\output\CMR_GOLD_055_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_055\geometry\CMR_GOLD_055_opt.xyz
CMR_GOLD_055,2,3,O,-0.244706,-0.046749,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_055\output\CMR_GOLD_055_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_055\geometry\CMR_GOLD_055_opt.xyz
CMR_GOLD_055,3,4,C,0.183013,0.071618,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_055\output\CMR_GOLD_055_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_055\geometry\CMR_GOLD_055_opt.xyz
CMR_GOLD_055,4,5,C,0.005765,-0.06393,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_055\output\CMR_GOLD_055_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_055\geometry\CMR_GOLD_055_opt.xyz
CMR_GOLD_055,5,6,C,-0.024505,0.000335,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_055\output\CMR_GOLD_055_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_055\geometry\CMR_GOLD_055_opt.xyz
CMR_GOLD_055,6,7,C,0.017715,-0.033394,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_055\output\CMR_GOLD_055_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_055\geometry\CMR_GOLD_055_opt.xyz
CMR_GOLD_055,7,8,C,0.016493,-0.001043,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_055\output\CMR_GOLD_055_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_055\geometry\CMR_GOLD_055_opt.xyz
